SIG,ra,dec,MODULUS,R,N_OBS,N_OBS_HALF,N_MODEL,MC_SOURCE_ID
17.9447512872043,43.8843477877016,-54.1235166422531,19,0.03,66,27,2.278125,0
12.5830708155363,56.0797374062298,-69.4216179870006,18.5,0.01,31,18,0.996875,0
12.2334523826811,0.167796192471199,-61.7638855248805,22,0.29,486,160,264.207942166902,0
12.1335045924276,0.169882977539243,-61.7638777471064,22,0.29,484,159,264.207942166902,0
10.8442896670378,25.3915583629121,-69.0524619896262,17.5,0.29,987,245,684.889375,0
10.4554973726011,0.699200539977438,-60.8549964789684,18.5,0.13,155,56,58.833125,0
10.3093281847464,0.699839719920956,-60.8505534917239,18.5,0.14,169,60,68.2325,0
10.1423898464486,0.019024781110108,-61.4814044674235,22.5,0.29,518,143,320.63125,0
9.39700119276634,0.011504144426712,-61.3031114221132,23,0.17,223,72,110.90375,0
9.35180123584794,26.3664008245236,-68.2287246057526,21,0.29,562,139,368.98875,0
9.05440031297905,56.1081797609079,-69.4213809051226,17.5,0.02,30,13,3.3175,0
9.02560406511824,57.0476839586637,-69.9313337129948,22.5,0.14,160,60,71.6625,0
8.9423491657357,0.00759042262805,-61.4731028016462,21.5,0.29,508,134,332.720625,0
8.58111495441036,359.610620719518,-60.0633171420412,22,0.28,359,86,220.5,0
8.42359054679618,43.607235877411,-74.8062434539642,21,0.29,477,111,316.42625,0
8.27196100851974,25.7343360055321,-69.4154110921115,20.5,0.17,265,95,152.628125,0
8.16877213137679,25.2306662053352,-67.5702700296336,20.5,0.25,399,116,257.8125,0
7.77676738290899,28.7678879820235,-68.2505620560932,19,0.02,21,12,2.2,0
7.6737289590305,2.25992176621159,-59.7394342076112,23,0.16,117,36,52.8,0
7.56909397021389,2.26827025804068,-59.7459021351714,23,0.16,116,36,52.8,0
7.54051297150005,44.2371521159214,-54.5508252793044,19,0.03,22,12,2.694375,0
7.27595284591119,27.8969185077021,-68.0674984656169,21.5,0.2,254,69,155.5,0
7.21635832636523,111.711824713031,-64.0411628915142,22.5,0.29,669,162,499.869375,0
7.14004668062738,26.5968756159559,-68.9194677899308,23,0.06,45,14,12.7125,0
7.00903154961208,3.35682568197679,-59.4482552000005,18,0.18,200,52,117.045,0
6.88001537904424,359.951894532897,-59.1179419335432,20.5,0.29,383,90,264.207942166902,0
6.73941324490072,359.147954876419,-58.9883593855245,22.5,0.07,42,15,12.315043202072,0
6.69336906641197,3.36173586333374,-59.4546617042942,18,0.2,234,65,146.5,0
6.58041441005872,0.477905762461868,-60.2747574995697,16.5,0.07,59,19,22.141875,0
6.53290648993952,0.544394973693539,-60.2984997038063,20,0.18,202,72,123.3225,0
6.50969594604513,56.6816363915278,-69.7658013867036,16,0.29,642,162,491.459375,0
6.4936996398808,358.278933948816,-59.3540984191208,22,0.29,242,72,155.059375,0
6.36237242795408,111.921396334156,-62.7420826965391,17,0.07,111,30,57.2075,0
6.25120892025798,49.7325294459946,-49.9814586746374,20,0.12,86,28,40.7150407905237,0
6.13003032261272,49.725180659544,-49.9790971638602,20,0.12,85,27,40.7150407905237,0
6.09820965319672,41.7836400849189,-54.1784470608942,20.5,0.28,327,84,229.32,0
5.99484526521489,112.644428823085,-63.2532103095282,17,0.05,70,27,31.484375,0
5.98930255582247,359.916328947508,-59.4986876207247,18.5,0.06,39,14,12.8475,0
5.98007015751385,113.098571215331,-63.722045503349,23,0.17,259,68,174.845,0
5.97986025647552,46.5549977042951,-72.9845573635918,17,0.1,102,30,53.375,0
5.95688572805422,1.98946615195377,-61.2891919786153,21.5,0.06,36,11,11.34,0
5.91718422915784,47.0197466029049,-73.1605878155126,17,0.28,526,127,402.29,0
5.90241021672542,1.98980065899582,-61.289199754221,22,0.06,34,11,10.44,0
5.87542608720409,357.336191050099,-59.4237448282967,16.5,0.29,397,103,291.721875,0
5.86978360934026,26.7825575263167,-66.9897685091865,22,0.08,51,20,20.1061929829747,0
5.8505599100419,113.95717137741,-63.2858333335174,22.5,0.07,72,22,33.50375,0
5.71393100270938,24.7247740637812,-68.4645603554655,23,0.08,47,17,18.28,0
5.66639099498519,0.019506738855395,-61.1812336093614,17,0.13,137,33,81.436875,0
5.63934928073505,359.985274557704,-60.2780089377366,19,0.11,84,26,42.80375,0
5.61656568518994,25.1821345144388,-68.200003195115,18,0.08,112,35,63.08,0
5.52667332527931,25.3946816078139,-68.2422026435914,17.5,0.12,181,59,117,0
5.48664181046734,2.80518827859383,-60.3082800308211,23,0.05,23,8,5.9375,0
5.47810913324379,2.81985290387834,-60.3085169296688,23,0.05,23,6,5.953125,0
5.44726617933143,2.83487187965315,-60.2282377859253,19.5,0.16,129,40,77.12,0
5.42791575160505,2.59043369177682,-61.0090147295138,21,0.02,11,4,1.38230076757951,0
5.33215658322219,54.8054373505372,-70.2274800329783,23,0.12,75,25,38.25,0
5.32476306663736,3.60546556332501,-59.5931058136322,22.5,0.05,27,9,8.21875,0
5.28683551826576,43.5725745092624,-73.5156495981374,18.5,0.07,56,19,25.6025,0
5.22953624103372,114.481637597809,-63.4695923454733,19.5,0.03,31,10,10.575,0
5.22650778534603,2.59768034400768,-61.0121159567354,21,0.01,6,0,0.345575191894877,0
5.20768425366878,359.841665756453,-59.5698649097364,22,0.05,27,6,8.484375,0
5.19662455635154,41.9114371360157,-53.8997608382465,16.5,0.29,415,102,318.52875,0
5.19249909075328,47.437134009727,-73.4262958878322,16,0.04,26,7,8,0
5.14137877021712,24.5083923533363,-68.20128475198,18.5,0.05,63,15,30.953125,0
5.11959886066164,56.9261278040711,-69.0823433609271,18,0.06,66,11,33.12,0
5.07061284589371,2.80457752701197,-61.0191070443947,18,0.03,16,3,3.515625,0
5.06616799751465,2.79692153585914,-61.018340843934,18,0.04,22,6,6.25,0
5.05187267785742,0.578464598659148,-60.3349116729137,18,0.07,44,18,18.834375,0
5.05150032449703,112.133503311259,-63.2428115611533,23,0.03,19,5,4.854375,0
5.04969405819012,111.125169600593,-64.8170322655432,23,0.08,72,27,37.68,0
5.02639556812956,3.26326936055699,-60.7556313362261,20.5,0.02,10,2,1.38230076757951,0
4.99588684315715,3.25825112427167,-60.7512019597183,20.5,0.02,10,3,1.405,0
4.98291746273317,112.87060809584,-63.5628063127529,20,0.25,813,205,679.6875,0
4.97485966393021,3.12657194541855,-60.633539008283,22.5,0.03,13,5,2.446875,0
4.97222407570177,52.1043764935962,-69.3489831217096,23,0.04,16,2,3.65,0
4.96963489642499,3.13715017894585,-60.6365093391608,22.5,0.03,13,5,2.4525,0
4.96479835513427,359.193815283912,-59.668033595753,18,0.06,32,12,11.8575,0
4.95940669670014,3.58485929989881,-59.6225958964412,21,0.17,157,49,103.3175,0
4.95901720898208,113.591081123671,-62.4289710687737,16,0.05,62,16,31.15625,0
4.94890810267829,52.8420623029262,-68.667906543181,20.5,0.05,27,10,9.09375,0
4.91709182138562,47.6472698957293,-73.4237396797591,19.5,0.05,30,7,10.84375,0
4.86623139580725,111.893174179816,-63.05198046596,20,0.07,87,26,49.643125,0
