ra dec
35.625000000000036 -54.340912303861195
39.37500000000006 -54.34091230386123
33.26086956521741 -55.87335043525195
37.17391304347826 -55.87335043525198
41.08695652173917 -55.87335043525199
2.0454545454545325 -57.39952353962292
6.136363636363671 -57.39952353962295
10.22727272727275 -57.39952353962292
14.318181818181822 -57.39952353962295
18.409090909090924 -57.399523539622884
22.499999999999986 -57.39952353962293
26.590909090909093 -57.399523539622905
30.68181818181816 -57.399523539622884
34.772727272727316 -57.399523539622905
38.863636363636374 -57.39952353962292
42.95454545454549 -57.39952353962293
357.95454545454544 -57.39952353962293
2.142857142857206 -58.91977535280319
6.4285714285715105 -58.91977535280316
10.714285714285753 -58.91977535280313
15.000000000000037 -58.91977535280314
19.285714285714285 -58.91977535280314
23.57142857142859 -58.91977535280316
27.857142857142858 -58.91977535280311
32.1428571428572 -58.91977535280316
36.42857142857145 -58.91977535280311
40.71428571428576 -58.91977535280313
349.2857142857143 -58.91977535280313
353.5714285714285 -58.919775352803114
357.8571428571429 -58.91977535280318
2.2500000000000373 -60.4344388449523
6.750000000000035 -60.43443884495226
11.250000000000012 -60.434438844952275
15.750000000000096 -60.43443884495229
20.249999999999996 -60.43443884495226
24.749999999999986 -60.43443884495225
29.25000000000009 -60.43443884495229
33.75000000000006 -60.43443884495226
38.249999999999986 -60.43443884495225
42.750000000000036 -60.43443884495229
344.24999999999994 -60.4344388449523
348.74999999999994 -60.434438844952275
353.25 -60.43443884495231
357.7499999999999 -60.43443884495229
2.3684210526316094 -61.94383702315671
7.105263157894773 -61.943837023156725
11.84210526315794 -61.943837023156725
16.57894736842112 -61.943837023156725
21.315789473684237 -61.943837023156696
26.052631578947434 -61.943837023156725
30.78947368421053 -61.94383702315674
35.5263157894737 -61.943837023156725
40.26315789473686 -61.94383702315671
45.00000000000002 -61.943837023156696
343.4210526315789 -61.94383702315674
348.1578947368421 -61.94383702315671
352.89473684210526 -61.943837023156696
357.6315789473685 -61.94383702315674
2.5000000000000657 -63.44828368030105
7.500000000000029 -63.44828368030105
12.5 -63.44828368030107
17.50000000000001 -63.44828368030103
22.500000000000036 -63.44828368030105
27.50000000000002 -63.448283680301095
32.49999999999998 -63.44828368030105
37.50000000000002 -63.448283680301046
42.500000000000064 -63.448283680301046
47.50000000000001 -63.44828368030103
337.5 -63.44828368030105
342.5 -63.448283680301046
347.49999999999994 -63.44828368030105
352.49999999999994 -63.44828368030107
357.50000000000006 -63.448283680301095
2.647058823529474 -64.94808409550689
7.941176470588252 -64.94808409550689
13.235294117647056 -64.94808409550689
18.529411764705976 -64.9480840955069
23.823529411764785 -64.94808409550691
29.117647058823486 -64.94808409550689
34.41176470588235 -64.94808409550689
39.70588235294124 -64.94808409550691
45.00000000000001 -64.94808409550687
50.29411764705879 -64.94808409550689
336.1764705882353 -64.94808409550689
341.47058823529414 -64.94808409550689
346.7647058823529 -64.94808409550691
352.0588235294117 -64.94808409550691
357.3529411764706 -64.94808409550689
2.81250000000005 -66.4435356908988
8.437500000000139 -66.44353569089883
14.062499999999991 -66.4435356908988
19.68750000000006 -66.44353569089876
25.31250000000016 -66.4435356908988
30.9375000000001 -66.4435356908988
36.562500000000085 -66.44353569089877
42.187499999999986 -66.44353569089876
47.81250000000003 -66.44353569089876
53.4375 -66.44353569089877
329.0625 -66.44353569089878
334.68749999999994 -66.44353569089878
340.31250000000006 -66.4435356908988
345.9375 -66.44353569089878
351.5625 -66.44353569089877
357.18750000000006 -66.44353569089883
3.0000000000001266 -67.93492864899142
9.00000000000011 -67.93492864899144
15.000000000000117 -67.93492864899143
21.000000000000043 -67.93492864899143
27.000000000000014 -67.9349286489914
33.00000000000004 -67.93492864899142
39.000000000000114 -67.93492864899142
