ra dec
76.93548387096774 -43.406858485936944
79.83870967741933 -43.40685848593697
82.74193548387098 -43.40685848593698
85.64516129032258 -43.406858485936944
64.50000000000001 -44.9938801504571
67.49999999999997 -44.99388015045707
70.50000000000004 -44.99388015045712
73.50000000000001 -44.9938801504571
76.49999999999999 -44.99388015045707
79.49999999999999 -44.99388015045709
82.50000000000001 -44.9938801504571
85.49999999999997 -44.9938801504571
88.49999999999997 -44.9938801504571
91.50000000000001 -44.99388015045713
94.49999999999999 -44.993880150457116
97.49999999999997 -44.9938801504571
100.50000000000001 -44.9938801504571
57.41379310344827 -46.57184741344955
60.51724137931036 -46.571847413449554
63.62068965517245 -46.57184741344955
66.7241379310345 -46.57184741344953
69.82758620689656 -46.57184741344955
72.9310344827586 -46.571847413449525
76.03448275862068 -46.571847413449554
79.13793103448275 -46.57184741344955
82.24137931034481 -46.571847413449554
85.3448275862069 -46.57184741344951
88.44827586206895 -46.57184741344953
91.55172413793102 -46.571847413449575
94.65517241379308 -46.57184741344952
97.75862068965517 -46.571847413449554
100.86206896551724 -46.57184741344952
103.96551724137929 -46.57184741344954
107.06896551724134 -46.57184741344951
53.035714285714306 -48.141207794360255
56.24999999999999 -48.14120779436026
59.46428571428573 -48.14120779436026
62.678571428571466 -48.14120779436028
65.89285714285715 -48.14120779436025
69.10714285714283 -48.14120779436024
72.32142857142856 -48.14120779436025
75.53571428571428 -48.141207794360255
78.74999999999999 -48.14120779436026
81.96428571428571 -48.14120779436024
85.17857142857142 -48.141207794360255
88.39285714285712 -48.141207794360234
91.60714285714286 -48.141207794360234
94.82142857142854 -48.14120779436021
98.03571428571429 -48.14120779436026
101.24999999999997 -48.14120779436023
104.46428571428571 -48.141207794360234
107.67857142857139 -48.141207794360234
110.89285714285714 -48.141207794360255
48.333333333333336 -49.70239032663066
51.66666666666667 -49.702390326630656
55.00000000000004 -49.702390326630685
58.33333333333331 -49.70239032663065
61.66666666666671 -49.70239032663067
65.0 -49.702390326630635
68.3333333333333 -49.70239032663065
71.66666666666663 -49.702390326630635
75.00000000000003 -49.70239032663067
78.33333333333334 -49.70239032663062
81.66666666666663 -49.70239032663067
84.99999999999999 -49.70239032663062
88.33333333333334 -49.70239032663064
91.66666666666667 -49.70239032663065
95.0 -49.70239032663065
98.33333333333333 -49.70239032663067
101.66666666666666 -49.70239032663066
105.0 -49.70239032663064
108.3333333333333 -49.70239032663061
111.66666666666664 -49.702390326630656
43.269230769230774 -51.25580694880488
46.73076923076926 -51.25580694880488
50.19230769230768 -51.25580694880487
53.65384615384617 -51.25580694880487
57.115384615384635 -51.25580694880488
60.57692307692307 -51.25580694880487
64.03846153846156 -51.25580694880485
67.50000000000001 -51.25580694880488
70.96153846153844 -51.25580694880488
74.42307692307695 -51.25580694880488
77.88461538461539 -51.25580694880485
81.34615384615384 -51.25580694880488
84.80769230769232 -51.25580694880488
88.26923076923077 -51.25580694880487
91.73076923076924 -51.25580694880485
95.19230769230768 -51.255806948804874
98.65384615384616 -51.25580694880488
102.11538461538463 -51.25580694880488
105.57692307692308 -51.25580694880486
109.03846153846152 -51.25580694880483
41.40000000000004 -52.801853781730635
45.00000000000002 -52.801853781730614
48.6 -52.80185378173057
52.200000000000045 -52.801853781730586
55.79999999999999 -52.80185378173058
59.40000000000005 -52.801853781730586
63.000000000000064 -52.80185378173061
66.60000000000004 -52.80185378173057
70.2 -52.801853781730586
73.79999999999998 -52.801853781730586
77.4 -52.801853781730586
80.99999999999999 -52.80185378173057
84.60000000000002 -52.80185378173061
88.2 -52.80185378173057
91.80000000000001 -52.80185378173059
95.39999999999999 -52.80185378173058
99.0 -52.80185378173062
102.60000000000001 -52.80185378173063
106.20000000000002 -52.8018537817306
109.79999999999998 -52.801853781730564
113.39999999999998 -52.8018537817306
117.0 -52.80185378173061
43.12500000000003 -54.34091230386123
46.87500000000002 -54.34091230386123
50.62500000000002 -54.34091230386123
54.37499999999995 -54.340912303861195
58.125 -54.3409123038612
61.87500000000007 -54.34091230386123
65.62499999999999 -54.3409123038612
69.37500000000001 -54.34091230386123
73.12499999999999 -54.3409123038612
76.87499999999999 -54.3409123038612
80.625 -54.34091230386123
84.375 -54.34091230386118
88.12499999999999 -54.34091230386119
91.87500000000001 -54.3409123038612
95.625 -54.34091230386123
99.375 -54.34091230386122
103.12499999999999 -54.34091230386123
106.875 -54.34091230386124
110.62500000000001 -54.34091230386121
114.37499999999996 -54.34091230386121
118.12500000000003 -54.34091230386121
121.875 -54.34091230386124
125.62499999999997 -54.34091230386119
45.00000000000004 -55.873350435252
48.91304347826085 -55.873350435251936
52.82608695652179 -55.873350435251986
56.739130434782666 -55.87335043525197
60.65217391304347 -55.87335043525197
64.5652173913044 -55.873350435251965
68.47826086956525 -55.873350435252
72.39130434782611 -55.87335043525197
76.30434782608697 -55.87335043525196
80.21739130434783 -55.873350435251965
84.1304347826087 -55.87335043525197
88.04347826086959 -55.87335043525199
91.95652173913044 -55.87335043525192
95.86956521739131 -55.873350435251965
99.78260869565219 -55.873350435251986
103.69565217391303 -55.873350435251965
107.60869565217389 -55.873350435251936
111.52173913043477 -55.87335043525196
115.43478260869564 -55.87335043525197
119.34782608695653 -55.87335043525199
123.2608695652174 -55.87335043525195
127.17391304347827 -55.873350435251986
47.04545454545451 -57.399523539622905
51.13636363636368 -57.39952353962293
55.22727272727272 -57.39952353962292
59.31818181818182 -57.399523539622905
63.409090909090914 -57.399523539622905
67.50000000000003 -57.39952353962292
71.59090909090905 -57.39952353962292
75.68181818181824 -57.399523539622884
79.77272727272732 -57.399523539622905
83.86363636363636 -57.399523539622884
87.95454545454545 -57.3995235396229
92.04545454545455 -57.39952353962292
96.13636363636364 -57.39952353962293
100.22727272727275 -57.3995235396229
104.31818181818184 -57.39952353962292
108.40909090909089 -57.399523539622905
112.50000000000001 -57.39952353962292
116.59090909090907 -57.399523539622884
120.68181818181817 -57.399523539622905
124.77272727272727 -57.399523539622905
128.86363636363632 -57.399523539622884
45.00000000000003 -58.91977535280316
49.285714285714356 -58.91977535280318
53.57142857142857 -58.91977535280309
57.85714285714288 -58.91977535280317
62.14285714285724 -58.91977535280313
66.42857142857149 -58.919775352803114
70.71428571428574 -58.91977535280316
74.99999999999999 -58.91977535280314
79.2857142857143 -58.919775352803114
83.57142857142858 -58.919775352803114
87.85714285714288 -58.91977535280313
92.14285714285714 -58.91977535280311
